order_id,created_at,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd,log_website_session_id
1,2012-03-19 10:42:46,20,20,1,1,49.99,19.49,3.044522437723423
2,2012-03-19 19:27:37,104,104,1,1,49.99,19.49,4.653960350157523
3,2012-03-20 06:44:45,147,147,1,1,49.99,19.49,4.997212273764115
4,2012-03-20 09:41:45,160,160,1,1,49.99,19.49,5.081404364984463
5,2012-03-20 11:28:15,177,177,1,1,49.99,19.49,5.181783550292085
6,2012-03-20 16:12:47,232,232,1,1,49.99,19.49,5.4510384535657
7,2012-03-20 17:03:41,241,241,1,1,49.99,19.49,5.488937726156687
8,2012-03-20 23:35:27,295,295,1,1,49.99,19.49,5.69035945432406
9,2012-03-21 02:35:01,304,304,1,1,49.99,19.49,5.720311776607412
10,2012-03-21 06:45:58,317,317,1,1,49.99,19.49,5.762051382780177
11,2012-03-21 07:28:02,321,321,1,1,49.99,19.49,5.7745515455444085
12,2012-03-21 08:21:33,327,327,1,1,49.99,19.49,5.793013608384144
13,2012-03-21 08:45:32,332,332,1,1,49.99,19.49,5.808142489980444
14,2012-03-21 09:12:05,336,336,1,1,49.99,19.49,5.820082930352362
15,2012-03-21 16:40:06,428,428,1,1,49.99,19.49,6.061456918928017
16,2012-03-21 17:13:05,434,434,1,1,49.99,19.49,6.075346031088684
17,2012-03-21 20:28:11,465,465,1,1,49.99,19.49,6.144185634125646
18,2012-03-22 06:15:33,507,507,1,1,49.99,19.49,6.230481447578482
19,2012-03-22 10:03:49,536,536,1,1,49.99,19.49,6.285998094508865
20,2012-03-22 17:49:57,615,615,1,1,49.99,19.49,6.423246963533519
21,2012-03-22 20:33:40,639,639,1,1,49.99,19.49,6.461468176353717
22,2012-03-23 12:09:46,732,732,1,1,49.99,19.49,6.597145701886651
23,2012-03-23 14:16:23,750,750,1,1,49.99,19.49,6.621405651764134
24,2012-03-23 17:14:48,783,783,1,1,49.99,19.49,6.664409020350408
25,2012-03-24 09:21:40,844,844,1,1,49.99,19.49,6.739336627357174
26,2012-03-25 08:32:41,908,908,1,1,49.99,19.49,6.812345094177479
27,2012-03-25 08:51:27,909,909,1,1,49.99,19.49,6.813444599510896
28,2012-03-25 16:00:12,940,940,1,1,49.99,19.49,6.846943139585379
29,2012-03-25 21:23:16,954,954,1,1,49.99,19.49,6.86171134048073
30,2012-03-26 10:03:39,1018,1016,1,1,49.99,19.49,6.926577033222725
31,2012-03-26 10:25:44,1023,1021,1,1,49.99,19.49,6.931471805599453
32,2012-03-26 14:13:56,1059,1055,1,1,49.99,19.49,6.966024187106113
33,2012-03-26 16:00:19,1081,1077,1,1,49.99,19.49,6.9865664594064265
34,2012-03-26 17:55:25,1094,1090,1,1,49.99,19.49,6.9985096422506015
35,2012-03-26 18:06:39,1098,1094,1,1,49.99,19.49,7.002155954403621
36,2012-03-26 18:54:41,1105,1101,1,1,49.99,19.49,7.00850518208228
37,2012-03-26 19:19:25,1107,1103,1,1,49.99,19.49,7.010311867307229
38,2012-03-26 21:13:07,1125,1121,1,1,49.99,19.49,7.026426808699636
